County,Total Residential Tons,Electricity Usage_2014,Population_2014
ALAMEDA,405147,2891.232325,1607792.0
ALPINE,291,11.974975,1080.0
AMADOR,8799,134.74438700000002,36726.0
BUTTE,55883,718.947064,223516.0
CALAVERAS,11400,192.54396699999998,44671.0
COLUSA,5532,64.72284499999999,21176.0
CONTRA COSTA,283772,2731.309642,1108876.0
DEL NORTE,6106,110.10964299999999,27175.0
EL DORADO,46432,721.053363,183108.0
FRESNO,246630,2692.471908,960567.0
GLENN,7232,91.392872,27831.0
HUMBOLDT,33039,395.915896,134494.0
IMPERIAL,45159,536.1185009999999,177974.0
INYO,4648,60.788615,18292.0
KERN,217883,2294.846631,869176.0
KINGS,34263,376.278996,149495.0
LAKE,16105,285.27735099999995,64044.0
LASSEN,5904,94.366525,31664.0
LOS ANGELES,2565550,20742.773777000002,10040072.0
MADERA,37707,424.63294800000006,153456.0
MARIN,64859,652.468169,260359.0
MARIPOSA,4448,68.51898299999999,17714.0
MENDOCINO,22032,295.17879700000003,87225.0
MERCED,67789,718.4812820000001,264419.0
MODOC,2369,53.515556999999994,9068.0
MONO,3416,87.69288399999999,14134.0
MONTEREY,106232,684.290192,428475.0
NAPA,34961,364.662282,140405.0
NEVADA,24706,407.094148,98572.0
ORANGE,798973,7032.7346959999995,3126537.0
PLACER,94361,1370.790232,369217.0
PLUMAS,5000,98.122899,18622.0
RIVERSIDE,590028,6763.139781,2316162.0
SACRAMENTO,375574,4708.0981329999995,1474917.0
SAN BENITO,14341,115.49750900000001,57825.0
SAN BERNARDINO,536080,4749.693015999999,2099181.0
SAN DIEGO,811199,6855.540414,3248877.0
SAN FRANCISCO,214592,1436.097607,850750.0
SAN JOAQUIN,183159,1762.8874879999998,711579.0
SAN LUIS OBISPO,66835,629.9200089999999,278227.0
SAN MATEO,193000,1505.2698619999999,757204.0
SANTA BARBARA,109099,804.131553,439045.0
SANTA CLARA,483851,3844.162094,1891753.0
SANTA CRUZ,66826,558.75025,270861.0
SHASTA,44812,724.0686910000001,178844.0
SIERRA,813,13.27525,2972.0
SISKIYOU,11265,215.40796600000002,43338.0
SOLANO,107166,1007.8038740000001,429006.0
SONOMA,125350,1286.568562,498560.0
STANISLAUS,136114,1716.5681600000003,528015.0
SUTTER,24617,276.569295,94778.0
TEHAMA,16080,231.001181,62801.0
TRINITY,3388,10.266434,13128.0
TULARE,117688,1221.371347,455138.0
TUOLUMNE,13092,206.254682,53851.0
VENTURA,215568,1904.7917530000002,842297.0
YOLO,51697,507.245608,208398.0
YUBA,18632,214.329404,73533.0
